epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,117.454,0.94015,0.78571,1,0.46582,0.000368384,0.000368384,0.000368384
2,198.46,0.27731,0.85714,1,0.19507,0.000724091,0.000724091,0.000724091
3,283.326,0.18991,0.85714,1,0.72559,0.00106513,0.00106513,0.00106513
4,361.134,0.16014,0.92857,1,0.18774,0.00104501,0.00104501,0.00104501
5,438.69,0.15945,1,1,0.13623,0.00102301,0.00102301,0.00102301
6,520.389,0.1244,1,1,0.12939,0.00100101,0.00100101,0.00100101
7,599.661,0.09755,1,1,0.0578,0.000979013,0.000979013,0.000979013
8,680.977,0.08591,1,1,0.01564,0.000957015,0.000957015,0.000957015
9,763.925,0.0845,1,1,0.02531,0.000935018,0.000935018,0.000935018
10,842.636,0.07355,1,1,0.00909,0.00091302,0.00091302,0.00091302
11,926.116,0.06566,1,1,0.03607,0.000891022,0.000891022,0.000891022
12,1002.93,0.06773,1,1,0.03772,0.000869024,0.000869024,0.000869024
13,1078.7,0.05391,1,1,0.05524,0.000847026,0.000847026,0.000847026
14,1161.03,0.05314,1,1,0.0387,0.000825029,0.000825029,0.000825029
15,1236.33,0.06287,1,1,0.0618,0.000803031,0.000803031,0.000803031
16,1312.44,0.05151,1,1,0.06592,0.000781033,0.000781033,0.000781033
17,1394.2,0.05304,1,1,0.05643,0.000759035,0.000759035,0.000759035
18,1470.22,0.05687,0.92857,1,0.12061,0.000737037,0.000737037,0.000737037
19,1546.8,0.06208,0.92857,1,0.10968,0.00071504,0.00071504,0.00071504
20,1628.44,0.04624,1,1,0.06622,0.000693042,0.000693042,0.000693042
21,1706.86,0.03973,1,1,0.03644,0.000671044,0.000671044,0.000671044
22,1786.61,0.03947,0.92857,1,0.13782,0.000649046,0.000649046,0.000649046
23,1872.43,0.04961,0.92857,1,0.08374,0.000627048,0.000627048,0.000627048
24,1950.35,0.02948,0.92857,1,0.13806,0.000605051,0.000605051,0.000605051
25,2031.52,0.03195,1,1,0.05954,0.000583053,0.000583053,0.000583053
26,2109.44,0.0324,0.92857,1,0.17737,0.000561055,0.000561055,0.000561055
27,2187.98,0.0288,1,1,0.03546,0.000539057,0.000539057,0.000539057
28,2273.26,0.03237,1,1,0.0733,0.000517059,0.000517059,0.000517059
29,2350.89,0.02899,1,1,0.08167,0.000495062,0.000495062,0.000495062
30,2427.42,0.02872,1,1,0.06256,0.000473064,0.000473064,0.000473064
31,2516.44,0.02057,1,1,0.0899,0.000451066,0.000451066,0.000451066
32,2603.82,0.0181,1,1,0.04562,0.000429068,0.000429068,0.000429068
33,2695.05,0.02297,0.92857,1,0.112,0.00040707,0.00040707,0.00040707
34,2782.89,0.02393,0.92857,1,0.12128,0.000385073,0.000385073,0.000385073
35,2871.5,0.02194,0.92857,1,0.09985,0.000363075,0.000363075,0.000363075
36,2967.07,0.0156,0.92857,1,0.10815,0.000341077,0.000341077,0.000341077
37,3054.31,0.0185,0.92857,1,0.29907,0.000319079,0.000319079,0.000319079
38,3149.22,0.02277,0.92857,1,0.17236,0.000297081,0.000297081,0.000297081
39,3236.34,0.01408,0.92857,1,0.11127,0.000275084,0.000275084,0.000275084
40,3323.92,0.01991,0.92857,1,0.10339,0.000253086,0.000253086,0.000253086
41,3413.86,0.01787,0.92857,1,0.13477,0.000231088,0.000231088,0.000231088
42,3500.74,0.01444,0.92857,1,0.08582,0.00020909,0.00020909,0.00020909
43,3591.88,0.01639,1,1,0.05869,0.000187092,0.000187092,0.000187092
44,3676.05,0.0232,0.92857,1,0.10944,0.000165095,0.000165095,0.000165095
45,3765.83,0.01222,0.92857,1,0.09088,0.000143097,0.000143097,0.000143097
46,3848.6,0.01662,0.92857,1,0.07892,0.000121099,0.000121099,0.000121099
47,3931.13,0.01771,0.92857,1,0.07941,9.91012e-05,9.91012e-05,9.91012e-05
48,4018.32,0.0082,0.92857,1,0.09241,7.71034e-05,7.71034e-05,7.71034e-05
49,4104.1,0.01628,0.92857,1,0.0824,5.51056e-05,5.51056e-05,5.51056e-05
50,4194.19,0.01481,0.92857,1,0.0752,3.31078e-05,3.31078e-05,3.31078e-05
